mass,spec5,spec10
5.745646953582764,0,0
5.747330188751221,0,0
5.749013900756836,0,0
5.750697612762451,0,0
5.752381801605225,0,0
5.754065990447998,0,0
5.75575065612793,0,0
5.7574357986450195,0,0
5.759120464324951,0,0
5.760806083679199,0,0
5.762491703033447,0,0
5.764177322387695,0,0
5.765863418579102,0,0
5.767549514770508,0,0
5.769236087799072,0,0
5.770923137664795,0,0
5.772610187530518,0,0
5.77429723739624,0,0
5.775984764099121,0,0
5.77767276763916,0,0
5.779360771179199,0,0
5.7810492515563965,0,0
5.782737731933594,0,0
5.784426212310791,0,0
5.7861151695251465,0,0
5.78780460357666,0,0
5.789494037628174,0,0
5.791183948516846,0,0
5.792873859405518,0,0
5.794564247131348,0,0
5.796254634857178,0,0
5.797945499420166,0,0
5.799636363983154,0,0
5.801327705383301,0,0
5.803019046783447,0,0
5.804710865020752,0,0
5.806402683258057,0,0
5.8080949783325195,0,0
5.809787750244141,0,0
5.811480522155762,0,0
5.813173294067383,0,0
5.814866542816162,0,0
5.816559791564941,0,0
5.818253517150879,0,0
5.819947719573975,0,0
5.82164192199707,0,0
5.823336124420166,0,0
5.82503080368042,0,0
5.826725959777832,0,0
5.828421115875244,0,0
5.830116271972656,0,0
5.831812381744385,0,0
5.833508014678955,0,0
5.835204124450684,0,0
5.83690071105957,0,0
5.838597297668457,0,0
5.840294361114502,0,0
5.841991424560547,0,0
5.84368896484375,0,0
5.845386505126953,0,0
5.8470845222473145,0,0
5.848782539367676,0,0
5.850481033325195,0,0
5.852179527282715,0,0
5.853878498077393,0,0
5.85557746887207,0,0
5.857276916503906,0,0
5.858976364135742,0,0
5.860676288604736,0,0
5.862376689910889,0,0
5.864077091217041,0,0
5.865777492523193,0,0
5.867478370666504,0,0
5.8691792488098145,0,0
5.870880603790283,0,0
5.87258243560791,0,0
5.874284267425537,0,0
5.875986576080322,0,0
5.877688884735107,0,0
5.879391193389893,0,0
5.881093978881836,0,0
5.8827972412109375,0,0
5.884500503540039,0,0
5.886204242706299,0,0
5.887907981872559,0,0
5.889611721038818,0,0
5.8913164138793945,0,0
5.8930206298828125,0,0
5.894725799560547,0,0
5.896430492401123,0,0
5.898136138916016,0,0
5.89984130859375,0,0
5.901547431945801,0,0
5.903253078460693,0,0
5.904959678649902,0,0
5.906666278839111,0,0
5.90837287902832,0,0
5.9100799560546875,0,0
5.911787033081055,0,0
5.91349458694458,0,0
5.915202617645264,0,0
5.916910648345947,0,0
5.918618679046631,0,0
5.920327186584473,0,0
